,cc_b3m1
0,0.003995747448845677
1,-0.3587755012027447
2,-0.8572739105701821
3,-0.5450292539292576
4,-1.0968703754038067
5,-0.8910654174521664
6,-0.743560204135095
7,-0.4650351340629193
8,-0.9054413062924596
9,-0.6380531943263055
10,-0.9988979835357092
11,-0.7015495913984875
12,-0.7131374535814672
13,-0.869536107022677
14,-0.7240471406331768
15,-1.0194072503860578
16,-1.2536443834342776
17,-0.6828452870500392
18,-1.0016857106382115
19,-1.1519592942482664
20,-0.9190303125732591
21,-0.5639486954962454
22,-0.6936093358267943
23,-0.9378006166709447
24,-0.48495577227022935
25,-0.8520496319088977
26,-1.0522683904678747
27,-0.9606798337431286
28,-0.998902855362946
29,-0.8580948138947235
30,-0.9360280554823106
31,-1.07010697199836
32,-0.7261383190744155
33,-0.9692674156516663
34,-0.8280909512694272
35,-0.6664706744703004
36,-0.9887403167443942
37,-0.802421088189627
38,-0.8413696596839575
39,-0.9850573051299083
40,-1.0287852403516577
41,-1.2038709503807539
42,-0.7008977941746188
43,-0.5253577687674262
44,-0.7285455553007019
45,-0.7228937214785063
46,-0.9164412139429832
47,-0.8346005464752206
48,-0.8894666605353088
49,-0.8736758952570032
50,-0.7291551345506928
51,-0.6360489889093675
52,-0.8913479645921729
53,-0.7068107130903876
54,-0.6744804506856461
55,-0.9201059725899672
56,-0.524329273761456
57,-0.6517560596274663
58,-0.9672745431263259
59,-0.7047238098139914
60,-0.6203826368419048
61,-1.066528003279064
62,-0.7365863035312472
63,-0.45838592713207227
64,-1.0562994685341138
65,-0.9351679272021514
66,-0.7011779187872271
67,-0.7512007339126541
68,-1.010096532678265
69,-0.8807109008089178
70,-1.171019854971611
71,-0.905387895160116
72,-1.253972469188831
73,-0.8275697994280691
74,-0.9819382456339518
75,-1.0540362892966701
76,-1.016837344520745
77,-0.8615314264342082
78,-1.086569813786106
79,-1.003629134476995
80,-0.6189007155512591
81,-0.553580835400485
82,-0.879904961217747
83,-0.7530260277497298
84,-0.8596530772426796
85,-1.1844781246185505
86,-1.0940942922059662
87,-1.041851613336327
88,-0.9627225441709495
89,-1.130997700641208
90,-1.0460910697673746
91,-1.088298290017109
92,-0.8331082369506451
93,-0.84370177954996
94,-0.6902044789086936
95,-0.9670479417601889
96,-0.8928832003816591
97,-0.4109073099334992
98,-0.7854457724333113
99,-1.0427059742818319
100,-0.7985744940790163
101,-0.9280660929570868
102,-0.6836557988488501
103,-0.8777671068900776
104,-0.6875208547825125
105,-0.6339398162491534
106,-0.6240152499609799
107,-0.7599936217311605
108,-1.0804416477519236
109,-0.5894728889799694
110,-0.7921266738634252
111,-0.5955881488638326
112,-0.7910477155548516
113,-0.8370266936625708
114,-0.850655658832796
115,-0.8688807529477192
116,-1.103202630542647
117,-0.6596417706303388
118,-0.8023320451968843
119,-1.0568504524381215
120,-0.946606365817825
121,-0.7634469263100012
122,-0.824107364745819
123,-1.0910022522492735
124,-0.714942824400902
125,-0.8734402312863736
126,-0.5440459537645221
127,-0.9755890982832014
128,-1.010430080229721
129,-0.9063428588016222
130,-1.2189016771690468
131,-0.7596565671265729
132,-0.8434406190827861
133,-0.8321074753578834
134,-0.958252187970416
135,-1.0613497758090151
136,-0.7703508120891591
137,-0.932679833154566
138,-0.9467054416565297
139,-0.8862005331524649
140,-0.8489171517794674
141,-0.663320674435619
142,-0.9651341690544406
143,-0.6956691319683959
144,-0.8237484048534736
145,-0.4650827174292864
146,-0.7852473930201516
147,-0.6164216971763032
148,-0.7141141605814383
149,-0.8706253109415432
150,-0.656518510570189
151,-0.849136053899727
152,-0.5132556914016781
153,-0.6819341428174575
154,-0.37305669965189736
155,-0.7506302139316023
156,-0.5287690073362921
157,-0.7401704707980041
158,-0.6784791014589224
159,-0.6281642171628974
160,-0.9920919241105199
161,-0.6863757328386022
162,-0.8029239517823115
163,-0.49403779162667405
164,-0.7405627196102955
165,-1.062525470347225
166,-0.580778871833747
167,-0.6921588519557673
168,-0.8021438302319197
169,-0.7199099054200833
170,-0.3008515277961017
171,-0.6979203888134347
172,-0.981368471564414
173,-0.8537360760245392
174,-0.6715007055002697
175,-0.8015805406567615
176,-0.388415204266936
177,-0.7627212568901314
178,-0.8164248797846501
179,-0.5360192034016737
180,-0.690407479655935
181,-0.9215777120234954
182,-0.6993088163329162
183,-0.6039930604068129
184,-0.4678634320814865
185,-0.638498945817215
186,-0.24834380942647272
187,-0.6142189064476877
188,-0.7715281802380378
189,-0.7353081776097508
190,-0.6477349112796897
191,-0.5949050143717756
192,-0.43380826249215687
193,-0.5405743566494294
194,-0.588311956392948
195,-0.6488169853914059
196,-0.3375313169304235
197,-0.7044246680375554
198,-0.7636589181784874
199,-0.7745611696553958
200,-0.5023916541403874
201,-0.8841832506418719
202,-0.6158317620849658
203,-0.7756822131846146
204,-0.9179692713640009
205,-1.0370456074884284
206,-1.065894898853795
207,-0.9870781900641816
208,-0.6703289980205351
209,-0.8520660412190946
210,-0.7138690615199454
211,-0.18837457281669145
212,-0.7622009343779741
213,-0.36758001669437057
214,-0.6834412795309674
215,-0.7942119148158167
216,-1.0361278120412472
217,-0.74262050762845
218,-0.7756445123481477
219,-0.7272300222875696
220,-0.961035031475074
221,-0.6384561540908571
222,-0.6640598581380992
223,-0.9220390749530498
224,-1.0517759910853233
225,-1.0395173354998128
226,-0.7898198467971209
227,-0.5305146043369415
228,-0.9725943375152415
229,-0.6675164989146634
230,-0.7434461442593392
231,-1.0017742046625706
232,-0.8967680525211037
233,-0.6538142430037794
234,-0.8132309001746592
235,-0.9592036150930632
236,-0.8199903768300913
237,-0.7650845226326624
238,-0.5059275930949951
239,-0.7780442573107553
240,-0.3963655602892153
241,-0.8123347375441767
242,-0.8399034916418326
243,-0.7386309155888391
244,-1.1471526926667046
245,-1.215391280014476
246,-1.1143457893411615
247,-0.8521948234693966
248,-0.8956646318464454
249,-0.9569692912941807
250,-0.7206780102817927
251,-0.8278477781123783
252,-0.8990902107613934
253,-1.0137077918091997
254,-0.8143379752392121
255,-0.802917727308234
256,-0.8026495212647582
257,-1.1655131325330306
258,-1.4055910568742398
259,-1.0352346430190273
260,-0.8985409849983093
261,-1.0936395557000154
262,-1.1207531691645656
263,-1.0729581755512285
264,-0.9720142278574535
265,-0.692499784412929
266,-0.9426505216603278
267,-1.0908627605448178
268,-0.973019592263288
269,-1.221632325008386
270,-1.4791062481256567
271,-0.9144785828667565
272,-0.9528198133246235
273,-0.8570711179955364
274,-1.205409791303623
275,-0.8248594660756972
276,-0.7483319245321063
277,-1.0385713922185218
278,-0.7895342161507042
279,-0.6390715122640973
280,-1.0644449722748615
281,-1.2603746276816707
282,-1.0116941653694305
283,-0.9030987025612554
284,-1.1260427914468565
285,-0.7490769784957152
286,-0.96554893973315
287,-0.80365517236792
288,-0.933398481928986
289,-0.9772769269397141
290,-0.8378975254999901
291,-1.1479528090863163
292,-1.0655116589291858
293,-0.9730902364015233
294,-1.1231154073983554
295,-1.0181987695334378
296,-0.9688379585896261
297,-0.9174079359422596
298,-1.217739618919234
299,-0.4796694161564652
300,-1.101109992601586
301,-0.7386493883521563
302,-0.8116357647056205
303,-0.6588178978928436
304,-0.9597091144105896
305,-0.9242193128820997
306,-0.8118794443489215
307,-0.8027594237337841
308,-1.0320429369079154
309,-1.010432590053183
310,-0.924386716411643
311,-1.0240778285047831
312,-0.705934972983048
313,-1.0375687070418316
314,-1.0147491058775984
315,-0.8109507040708444
316,-0.9032595503220477
317,-0.691752604044666
318,-0.7519099176255626
319,-0.812977368003402
320,-0.8087059418251368
321,-0.8040797914313575
322,-0.6676404443977138
323,-0.6294568661313189
324,-0.5275409397230693
325,-0.8033582238459438
326,-0.7553271432774409
327,-0.8408252360346289
328,-0.7512324068913045
329,-0.6083158483083562
330,-0.3052433740264142
331,-0.7103039789514227
332,-0.7473699553193409
333,-0.5018965852756221
334,-0.9216217409069092
335,-0.6704801640960554
336,-0.8808982554369962
337,-1.0568860117832841
338,-0.9751139321065843
339,-0.8054263352612274
340,-0.9562564660718991
341,-0.6986403205358425
342,-0.7430743139828557
343,-0.5586894980858652
344,-0.8926785723220014
345,-0.6341926263302131
346,-0.762387719463014
347,-1.1276770803565483
348,-0.8682866175475681
349,-1.026446490334095
350,-1.2637511623041604
